インフラコスト計算シート - 月間1万ユーザー想定

推奨コスト/ユーザー,2.84,8.27,17.85

=== コスト削減機会（月額） ===
最適化項目,コンサバ削減額,アグレッシブ削減額,ハイ削減額
キャッシュ強化,1800,3200,6800
OpenAI最適化,130,800,3400
画像最適化,0,2600,2800
Cloudflare CDN導入,0,3000,5000
APIコール最適化,900,2000,3500
合計削減見込み,2830,11600,21500
最適化後コスト,25590,71140,157020

=== ユーザー数スケール予測 ===
ユーザー数,コンサバ（円）,アグレッシブ（円）,ハイ（円）
5000,15000,22000,45000
10000,28420,82740,178520
20000,48000,155000,340000
50000,105000,360000,820000
100000,190000,680000,1580000

=== API呼び出し回数詳細 ===
項目,コンサバ,アグレッシブ,ハイ
おすすめ生成ユーザー数,6000,8000,9000
1ユーザーあたりAPI呼び出し,15,15,15
おすすめ生成総API呼び出し,90000,120000,135000

チャット使用ユーザー数,2000,5000,7000
1ユーザーあたりチャット回数,2,4,10
1チャットあたりAPI呼び出し,3,4,10
チャット総API呼び出し,12000,80000,700000

詳細閲覧総ページビュー,25000,65000,175000
1詳細あたりPlace Details呼び出し,1,1,1
詳細閲覧総API呼び出し,25000,65000,175000

写真取得総回数,60000,210000,720000

=== 重要な閾値 ===
サービス,現在のプラン,次のプラン,アップグレード閾値
Supabase,Pro ($25),Team ($599),Bandwidth 250GB超過時
Vercel,Pro ($20),Enterprise（要見積）,Bandwidth 1TB超過時
Cloudinary,Free ($0),Plus ($89),Storage 25GB超過時
SendGrid,Free ($0),Essentials ($19.95),100通/日超過時

=== 注意事項 ===
1. 為替レートは 1USD = 150円 で計算
2. Vercel無料プランから Pro Planへのアップグレードが必須（商用利用のため）
3. Google Places APIは無料クレジット$200/月を考慮済み
4. バッファは予期せぬスパイクやテスト使用を考慮
5. 監視ツールコストは別途必要（Datadog, Sentry等）
6. すべての料金は2025年11月時点の情報に基づく

=== 最適化優先度 ===
優先度,施策,削減見込み（%）,実装難易度,推奨タイミング
1,キャッシュ強化（Redis/Upstash）,30-40%（Places API）,中,即座
2,OpenAIプロンプト最適化,30-40%（OpenAI）,低,今週
3,画像最適化（WebP変換）,20-30%（Cloudinary）,中,今月
4,Cloudflare CDN導入,30-50%（Vercel）,中,1-2ヶ月
5,Places API代替（Mapbox）,50-80%（Places API）,高,3-6ヶ月
6,人気スポット自社DB化,20-40%（Places API）,高,3-6ヶ月
7,Vercel代替（Cloudflare Pages）,50-70%（Vercel）,高,3-6ヶ月
8,データベースクエリ最適化,Team Plan回避,中,1-3ヶ月

